player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
200429,Elizabeth,Minter,U,19650823,AUS,,Q3051250
200430,Marcela,Skuherska,U,19610214,TCH,,Q3289508
200431,Lilian,Drescher,U,19650523,SUI,163,Q3240807
200432,Laura,Bernstein,U,19630317,USA,,Q85151227
200433,Kim,Jones,R,19570928,USA,,
200434,Shelley,Solomon,U,19630619,USA,,Q3481844
200435,Barbara,Gerken,U,19640703,USA,,Q2883946
200436,Carina,Karlsson,U,19630911,SWE,,Q2938791
200437,Annabel,Croft,R,19660712,GBR,,Q458541
200438,Michaela,Washington,U,19660227,USA,,Q13474294
200439,Jenny,Byrne,U,19670225,AUS,,Q458529
200440,Shawn,Foltz,U,19671221,USA,,Q96630768
200441,Louise,Field,U,19670225,AUS,,Q3263739
200442,Andrea,Temesvari,R,19660426,HUN,,Q270408
200443,Sara,Gomer,U,19640513,GBR,,Q25505
200444,Elise,Burgin,U,19620305,USA,,Q3051121
200445,Svetlana,Cherneva,U,19621008,RUS,,Q12509
200446,Colleen,Carney,U,19670123,AUS,,
200447,Adriana,Villagran Reami,U,19560807,ARG,,Q2825070
200448,Sandy,Collins,U,19581013,USA,178,Q511115
200449,Petra,Keppeler,U,19650322,GER,,Q3377573
200450,Larisa,Savchenko,U,19660721,URS,,Q240695
200451,Beverly,Mould,U,19620313,RSA,,Q2900390
200452,Tine,Scheuer Larsen,U,19660313,DEN,,Q467706
200453,Catarina,Lindqvist Ryan,R,19630613,SWE,,Q270182
200454,Myriam,Schropp,U,19660429,GER,,Q18540695
200455,Katerina,Maleeva,R,19690507,BUL,168,Q259847
200456,Masako,Yanagi,U,19591111,JPN,,Q16193239
200457,Andrea,Holikova,U,19680115,TCH,,Q2846348
200458,Rebecca,Bryant,U,19631220,AUS,,Q84513065
200459,Linda,Gates,U,19691224,USA,,
200460,Regina,Marsikova,U,19581211,CZE,,Q459614
200461,Lisa,Spain Short,R,19620714,USA,,Q91012931
200462,Belinda,Cordwell,U,19650921,NZL,,Q461059
200463,Terry,Holladay,L,19551128,USA,180,Q3518905
200464,Ann,Henricksson,U,19591031,USA,,Q760698
200465,Lisa,Bonder Kreiss,R,19651016,USA,,Q3242377
200466,Molly,Van Nostrand,R,19650312,USA,,Q3319632
200467,Janine,Tremelling,U,19670912,AUS,,Q3162019
200468,Hu,Na,U,19630416,USA,,Q455713
200469,Nicole,Bradtke,U,19690922,AUS,,Q289753
200470,Dee Ann,Hansel,U,19620611,USA,,Q96619830
200471,Jamie,Golder,U,19620121,USA,,Q61994729
200472,Helen,Kelesi,U,19691115,CAN,,Q438296
200473,Beverly,Bowes,R,19650909,USA,,Q2900386
200474,Louise,Allen,U,19620107,USA,,Q6688606
200475,Lisa,Oneill,U,19680808,AUS,,
200476,Cammy,Macgregor,U,19681011,USA,,Q2935183
200477,Susan,Rimes,U,19590415,USA,,Q84961979
200478,Caryn,Copeland Wilson,U,19610314,USA,,Q85010982
200479,Emiko,Okagawa,U,19641226,JPN,,Q9253439
200480,Claudia,Porwik,U,19681114,GER,,Q73912
200481,Elna,Reinach,U,19681202,RSA,,Q433976
200482,Judith,Wiesner,R,19660302,AUT,,Q469585
200483,Kumiko,Okamoto,U,19650219,JPN,,Q3200377
200484,Ann,Devries,U,19700227,BEL,,Q2376709
200485,Manon,Bollegraf,U,19640410,NED,,Q291677
200486,Csilla,Cserepy,U,19660329,SUI,,Q3006389
200487,Eva,Krapl,U,19660116,SUI,,Q5415090
200488,Alison,Scott,U,19680208,AUS,,Q16449200
200489,Yukie,Koizumi,U,19580124,JPN,,Q61015681
200490,Michaela,Pazderova,U,19630121,TCH,,
200491,Christina,Singer,U,19680727,GER,176,Q91766
